min,s,cons_s,spect_x,spect_y,spect_z,look_x,look_y,look_z
0,0,0,-2,4,.1,-2,3,-.1
0,0,0,-2,4,.1,-2,3,-.1
0,0,0,-2,4,.1,-2,4,-.1
0,1,1,-2,4,.1,-5,4,-.1
0,2,2,-5,4,.1,-5,1,-.1
0,3,3,-5,1,.1,0,0,-.1
0,4,4,0,1,.1,2,2,-.1
0,5,5,2,2,.1,2,3,-.1
0,6,6,2,3,.1,2,4.5,-.1
0,7,7,2,4.5,.1,4.5,4.5,-.1
0,8,8,4.5,4.5,.1,4.5,3,-.1
0,9,9,4.5,3,.1,1,3,-.1
0,10,10,1,3,.1,2,2,-.1
0,11,11,2,2,.1,0,1,-.1
0,12,12,0,1,.1,-1,1,-.1
0,13,13,-1,1,.1,-1,-1,-.1
0,14,14,-1,-1,.1,-2,-1,-.1
0,15,15,-2,-1,.1,-6,-1,-.1
0,16,16,-6,-1,.1,-7,-1,-.1
0,17,17,-6,-1,.1,-7,-1,-.1